series,model,run_id,seed,fold,accuracy,precision,recall,f1,roc_auc,n_test
lemmatized,RandomForest,s43_f2,43,2,0.9192431933548685,0.9146730462519936,0.9440329218106996,0.9291211016605914,0.9526714389459487,2167
lemmatized,RandomForest,s43_f3,43,3,0.9266266728195662,0.9230769230769231,0.9481481481481482,0.9354445797807551,0.9619842998927964,2167
lemmatized,RandomForest,s43_f4,43,4,0.9298569450853715,0.9324104234527687,0.943163097199341,0.9377559377559378,0.9582399117674005,2167
lemmatized,RandomForest,s44_f0,44,0,0.9211254612546126,0.9357262103505843,0.922633744855967,0.9291338582677166,0.9523398062864077,2168
lemmatized,RandomForest,s44_f1,44,1,0.9298569450853715,0.9221604447974583,0.9555555555555556,0.9385610347615198,0.960323944392572,2167
lemmatized,RandomForest,s44_f2,44,2,0.9243193354868482,0.9134539732494099,0.9555555555555556,0.9340305711987128,0.9596210706504824,2167
lemmatized,RandomForest,s44_f3,44,3,0.9326257498846331,0.9252187748607796,0.9572016460905349,0.9409385113268608,0.9575630252100841,2167
lemmatized,RandomForest,s44_f4,44,4,0.9261652053530226,0.9182539682539682,0.9530477759472817,0.9353274050121261,0.9590195532706048,2167
lemmatized,RandomForest,s45_f0,45,0,0.9220479704797048,0.9157392686804452,0.9481481481481482,0.9316619490497372,0.9554273055847033,2168
lemmatized,RandomForest,s45_f1,45,1,0.9330872173511767,0.9252782193958664,0.9580246913580247,0.9413667610190053,0.9650763391776463,2167
lemmatized,RandomForest,s45_f2,45,2,0.9261652053530226,0.9271255060728745,0.9423868312757202,0.9346938775510204,0.95206452951551,2167
lemmatized,RandomForest,s45_f3,45,3,0.9326257498846331,0.9205350118017309,0.9629629629629629,0.9412711182622687,0.9590474461389495,2167
lemmatized,RandomForest,s45_f4,45,4,0.9229349330872173,0.9177972865123704,0.9472817133443163,0.9323064450749898,0.9527837177663184,2167
lemmatized,RandomForest,s46_f0,46,0,0.9202029520295203,0.9095911949685535,0.9522633744855967,0.9304382790510656,0.9553988055911805,2168
lemmatized,RandomForest,s46_f1,46,1,0.9201661282879557,0.9194847020933977,0.939917695473251,0.9295889295889296,0.9567235536189784,2167
lemmatized,RandomForest,s46_f2,46,2,0.9335486848177204,0.9315068493150684,0.951440329218107,0.9413680781758957,0.9611266728913787,2167
lemmatized,RandomForest,s46_f3,46,3,0.9358560221504384,0.9331723027375202,0.9539094650205762,0.9434269434269434,0.9618995746446726,2167
lemmatized,RandomForest,s46_f4,46,4,0.9201661282879557,0.9147410358565737,0.9456342668863262,0.9299311462130417,0.9522715918343357,2167
lemmatized,SVM,s42_f0,42,0,0.9257380073800738,0.9263754045307443,0.9423868312757202,0.934312525499796,0.9482371026733856,2168
