series,model,run_id,seed,fold,classic_f1,classic_accuracy,classic_precision,classic_recall,trans_f1,trans_accuracy,trans_precision,trans_recall,n_test
lemmatized,SVM,s45_f4,45,4,0.9261962692619627,0.9160129210890632,0.9121405750798722,0.940691927512356,0.9324160259004451,0.9229349330872173,0.9164677804295943,0.9489291598023064,2167
lemmatized,SVM,s46_f0,46,0,0.9243091710052064,0.9128228782287824,0.9001560062402496,0.9497942386831276,0.9301765650080257,0.9197416974169742,0.9075959279561472,0.9539094650205762,2168
lemmatized,SVM,s46_f1,46,1,0.9286871961102108,0.9187817258883249,0.9146049481245012,0.94320987654321,0.9332797427652733,0.9233964005537609,0.9120188531029065,0.9555555555555556,2167
lemmatized,SVM,s46_f2,46,2,0.9359079704190632,0.928011075219197,0.9343724364232978,0.937448559670782,0.9399837793998378,0.9317028149515459,0.926458832933653,0.9539094650205762,2167
lemmatized,SVM,s46_f3,46,3,0.9440842787682334,0.936317489616982,0.9297685554668796,0.9588477366255144,0.9443767762890783,0.9367789570835257,0.9318910256410257,0.9572016460905349,2167
original,LinearSVM,s42_f0,42,0,0.9331184528605962,0.9234317343173432,0.9139700078926598,0.9530864197530864,0.9358094469115866,0.926660516605166,0.9183835182250396,0.9539094650205762,2168
original,LinearSVM,s42_f1,42,1,0.9210526315789472,0.9086294416243654,0.8932714617169374,0.9506172839506172,0.9226452905811623,0.9109367789570835,0.89921875,0.9473251028806584,2167
original,LinearSVM,s42_f2,42,2,0.9325797335486476,0.9229349330872172,0.915213946117274,0.9506172839506172,0.9363083164300203,0.9275496077526535,0.9232,0.9497942386831276,2167
original,LinearSVM,s42_f3,42,3,0.928486764124852,0.9164743885556068,0.8928571428571429,0.9670781893004116,0.9271575613618369,0.915089986155976,0.893211289092296,0.9637860082304527,2167
original,LinearSVM,s42_f4,42,4,0.93370607028754,0.9233964005537608,0.9062015503875968,0.9629324546952224,0.9387096774193548,0.9298569450853715,0.919431279620853,0.9588138385502472,2167
original,LinearSVM,s43_f0,43,0,0.929936305732484,0.918819188191882,0.9005397070161912,0.9613168724279836,0.9342948717948718,0.9243542435424354,0.9102263856362217,0.9596707818930041,2168
original,LinearSVM,s43_f1,43,1,0.932210188527878,0.9220119981541302,0.9092331768388108,0.9563786008230452,0.934136546184739,0.9243193354868482,0.912156862745098,0.9572016460905349,2167
original,LinearSVM,s43_f2,43,2,0.9230769230769232,0.9100138440239964,0.8863636363636364,0.9629629629629628,0.927352123858674,0.9155514536225197,0.8957055214723927,0.9613168724279836,2167
original,LinearSVM,s43_f3,43,3,0.9298034496590454,0.9192431933548684,0.906885758998435,0.9539094650205762,0.9337641357027464,0.9243193354868482,0.9167327517842981,0.951440329218107,2167
original,LinearSVM,s43_f4,43,4,0.93010101010101,0.9201661282879556,0.9127676447264076,0.9481054365733114,0.9309504467912266,0.9215505306875865,0.9182692307692307,0.943986820428336,2167
original,LinearSVM,s44_f0,44,0,0.9267503035208418,0.9165129151291512,0.911624203821656,0.9423868312757202,0.9299311462130417,0.9202029520295203,0.9154704944178629,0.9448559670781893,2168
original,LinearSVM,s44_f1,44,1,0.9304174950298212,0.9192431933548684,0.9,0.9629629629629628,0.9334402566158782,0.9233964005537609,0.910086004691165,0.9580246913580247,2167
original,LinearSVM,s44_f2,44,2,0.9290836653386454,0.9178587909552376,0.9003861003861003,0.959670781893004,0.9312,0.9206275957544993,0.9058365758754864,0.9580246913580247,2167
original,LinearSVM,s44_f3,44,3,0.9361189232623544,0.9266266728195662,0.914442700156986,0.9588477366255144,0.9361189232623544,0.9266266728195662,0.9144427001569859,0.9588477366255144,2167
original,LinearSVM,s44_f4,44,4,0.9307723089235694,0.9201661282879556,0.9050583657587548,0.957990115321252,0.9297470895222802,0.9192431933548685,0.9068128425998434,0.9538714991762768,2167
original,LinearSVM,s45_f0,45,0,0.9228925289652418,0.9109778597785978,0.8967391304347826,0.9506172839506172,0.9265355279004416,0.915590405904059,0.9043887147335423,0.9497942386831276,2168
original,LinearSVM,s45_f1,45,1,0.934242181234964,0.9243193354868482,0.9108678655199376,0.9588477366255144,0.9371980676328503,0.928011075219197,0.91725768321513,0.9580246913580247,2167
original,LinearSVM,s45_f2,45,2,0.9279423538831064,0.9169358560221504,0.9033515198752924,0.9539094650205762,0.9323671497584541,0.9224734656206738,0.9125295508274232,0.9530864197530864,2167
original,LinearSVM,s45_f3,45,3,0.9314194577352471,0.9206275957544992,0.903325599381284,0.9613168724279836,0.935251798561151,0.9252422704199353,0.9090909090909091,0.9629629629629629,2167
original,LinearSVM,s45_f4,45,4,0.9314079422382672,0.9210890632210428,0.9077404222048476,0.956342668863262,0.9290894439967768,0.9187817258883249,0.9093059936908517,0.9497528830313015,2167
original,LinearSVM,s46_f0,46,0,0.9250398724082934,0.9132841328413284,0.897138437741686,0.9547325102880658,0.9257188498402555,0.9142066420664207,0.8991466252909232,0.9539094650205762,2168
