series,model,accuracy,precision,recall,f1,roc_auc,roc_auc_macro,duration_sec,run_id,seed,fold,n_test
original,LinearSVM,0.918819188191882,0.9005397070161912,0.9613168724279836,0.929936305732484,0.9507429430129676,,1.0307390689849854,,,,
original,NeuralNet,0.8925276752767528,0.8736681887366818,0.9448559670781892,0.907868722815342,0.9388916957064328,,85.84651970863342,,,,
original,RandomForest,0.9298569450853716,0.9248601119104716,0.9522633744855968,0.9383617193836172,0.960282446311858,,165.485515832901,,,,
original,SVM,0.9243193354868482,0.91345397324941,0.9555555555555556,0.9340305711987128,0.943521112148563,,264.68072295188904,,,,
original,LinearSVM,0.9220119981541302,0.9092331768388108,0.9563786008230452,0.932210188527878,0.955005705986098,,0.996021032333374,,,,
original,NeuralNet,0.9017074296262112,0.9033816425120772,0.9234567901234568,0.9133089133089132,0.9428891309610264,,88.35846304893494,,,,
original,RandomForest,0.9224734656206738,0.9086651053864168,0.9580246913580248,0.9326923076923076,0.949358076563959,,158.32622003555298,,,,
original,SVM,0.9100138440239964,0.8905053598774885,0.9572016460905348,0.9226497421658072,0.9320806100217864,,259.14831829071045,,,,
original,LinearSVM,0.9100138440239964,0.8863636363636364,0.9629629629629628,0.9230769230769232,0.9485207663312238,,1.0081369876861572,,,,
original,NeuralNet,0.8883248730964467,0.8870326173428799,0.9176954732510288,0.90210355987055,0.9288943355119826,,98.36299991607666,,,,
original,RandomForest,0.9321642824180896,0.9306451612903226,0.9497942386831276,0.940122199592668,0.953976899401736,,162.44577264785767,,,,
original,SVM,0.9229349330872172,0.9139020537124802,0.9522633744855968,0.9326884320838372,0.9394300930248642,,257.28590416908264,,,,
original,LinearSVM,0.9192431933548684,0.906885758998435,0.9539094650205762,0.9298034496590454,0.9535454922709824,,1.0007309913635254,,,,
original,NeuralNet,0.8966312874942317,0.8948207171314742,0.9242798353909464,0.9093117408906882,0.934067330635958,,96.33931589126588,,,,
original,RandomForest,0.9284725426857406,0.9322448979591836,0.940691927512356,0.9364493644936448,0.9520909431933492,,160.25009417533877,,,,
original,SVM,0.9229349330872172,0.9218372280419016,0.942339373970346,0.9319755600814664,0.9444047324757854,,260.19738125801086,,,,
original,LinearSVM,0.9201661282879556,0.9127676447264076,0.9481054365733114,0.93010101010101,0.951337232117081,,1.0483381748199463,,,,
original,NeuralNet,0.9072450392247348,0.9168724279835392,0.9176276771004942,0.9172498970769865,0.9409166578791328,,92.0738639831543,,,,
original,RandomForest,0.9271217712177122,0.930725346373268,0.939917695473251,0.9352989352989352,0.9526390562183962,,161.12519693374634,,,,
original,SVM,0.915590405904059,0.9114832535885168,0.9407407407407408,0.9258809234507898,0.93891717297337,,261.7010598182678,,,,
original,LinearSVM,0.9165129151291512,0.911624203821656,0.9423868312757202,0.9267503035208418,0.9481209436088764,,1.0593547821044922,,,,
original,NeuralNet,0.8976014760147601,0.907301066447908,0.9102880658436214,0.9087921117502056,0.9381131277015616,,95.93598699569702,,,,
original,RandomForest,0.9289340101522844,0.9227091633466136,0.9530864197530864,0.9376518218623482,0.9566591451395372,,164.45423412322998,,,,
original,SVM,0.9206275957544992,0.9058365758754864,0.9580246913580248,0.9312,0.9402790745928002,,256.98584604263306,,,,
original,LinearSVM,0.9192431933548684,0.9,0.9629629629629628,0.9304174950298212,0.951333990386278,,1.137873888015747,,,,
original,NeuralNet,0.9063221042916474,0.9035087719298246,0.9325102880658436,0.917780477926286,0.9434407096171802,,90.75875806808472,,,,
original,RandomForest,0.9266266728195662,0.9177215189873418,0.9547325102880658,0.9358612343686972,0.9542034097589652,,160.19746804237366,,,,
original,SVM,0.9183202584217812,0.9035769828926904,0.9563786008230452,0.9292283086765294,0.9401221599751012,,255.8210310935974,,,,
original,LinearSVM,0.9178587909552376,0.9003861003861003,0.959670781893004,0.9290836653386454,0.9489768129474012,,0.9819049835205078,,,,
original,NeuralNet,0.9012459621596678,0.8988047808764941,0.928395061728395,0.9133603238866396,0.9390241899228828,,81.43465805053711,,,,
original,RandomForest,0.9335486848177204,0.9273743016759776,0.9563786008230452,0.9416531604538088,0.9582447176401424,,164.2652997970581,,,,
original,SVM,0.925703737886479,0.915615141955836,0.9555555555555556,0.9351590817559404,0.9473428260192966,,255.1616668701172,,,,
original,LinearSVM,0.9266266728195662,0.914442700156986,0.9588477366255144,0.9361189232623544,0.9532537088909638,,1.0810167789459229,,,,
original,NeuralNet,0.9040147669589292,0.8973954222573007,0.9358024691358025,0.9161966156325544,0.9443765777916104,,92.17325401306152,,,,
original,RandomForest,0.925703737886479,0.920191540303272,0.9497528830313016,0.9347385488447508,0.953974788710238,,168.75205516815186,,,,
original,SVM,0.9220119981541302,0.9098039215686274,0.9555189456342668,0.9321012454801124,0.94136655078647,,258.7683341503144,,,,
original,LinearSVM,0.9201661282879556,0.9050583657587548,0.957990115321252,0.9307723089235694,0.9528182916688994,,1.105320930480957,,,,
original,NeuralNet,0.8864790032302723,0.8884430176565008,0.9118616144975288,0.9,0.931705738057742,,85.80638718605042,,,,
original,croBERT,0.9207469330148736,0.9091748200110762,0.9539027697075344,0.9310018903591682,0.939535758770026,,4407.783901929855,,,,
lemmatized,RandomForest,0.9326568265682657,0.9286287089013632,0.9530864197530864,0.9406986190089358,0.9622029631356902,,1083.4944689273834,,,,
lemmatized,SVM,0.9271217712177122,0.9191118160190324,0.9539094650205762,0.9361873990306948,0.9508504657158032,,499.4024820327759,,,,
lemmatized,LinearSVM,0.9280442804428044,0.9199048374306106,0.9547325102880658,0.936995153473344,0.9560979190686548,,2.325192213058472,,,,
lemmatized,NeuralNet,0.8911439114391144,0.8982912937347437,0.908641975308642,0.9034369885433716,0.9450589215775178,,98.74681878089903,,,,
lemmatized,RandomForest,0.9187817258883249,0.9126290706910246,0.945679012345679,0.9288601455133388,0.9556653525607772,,1041.7355329990387,,,,
lemmatized,SVM,0.9155514536225196,0.9062992125984252,0.9473251028806584,0.9263581488933602,0.9414012518587682,,505.655492067337,,,,
lemmatized,LinearSVM,0.912782648823258,0.90078125,0.9489711934156378,0.924248496993988,0.9489271017048796,,2.4127299785614014,,,,
lemmatized,NeuralNet,0.8850946008306414,0.8833333333333333,0.9160493827160494,0.8993939393939394,0.940805581491856,,87.88695907592773,,,,
lemmatized,RandomForest,0.9358560221504384,0.9388254486133768,0.9473251028806584,0.9430561245391234,0.9612727807172252,,1065.4108519554138,,,,
lemmatized,SVM,0.9183202584217812,0.9172025723472668,0.9390946502057612,0.9280195201301342,0.9498015873015874,,509.1822719573975,,,,
lemmatized,LinearSVM,0.9243193354868482,0.916732751784298,0.951440329218107,0.9337641357027464,0.9548319327731092,,2.3385400772094727,,,,
